vin,perc_days,avg_daily_max,avg_daily_mean,overall_max,overall_mean,mean_day_length_g,mean_day_length_r_g,mean_drive_length_r_g,mean_drive_length_g
ZHWEA6ZX1MLA16633,0.46715328467153283,195.7117245367796,61.556620770958915,301,61.556620770958915,6868.787878787879,2763.828125,613.1195840554593,2060.6363636363635
ZHWEA6ZX1MLA17653,0.4263157894736842,216.21986160748233,70.53381491901757,306,70.53381491901756,7374.659090909091,5243.395061728395,994.648711943794,2385.919117647059
ZHWEA6ZX1MLA17684,0.18085106382978725,211.67872783401538,71.48452868116878,281,71.48452868116878,5722.846153846154,2685.181818181818,995.629213483146,2254.4545454545455
ZHWEA6ZX1MLA17765,0.44571428571428573,192.48755086557694,51.319815159666184,292,51.319815159666184,3677.0476190476193,2488.0779220779223,686.673835125448,1331.344827586207
ZHWEA6ZX1MLA17779,0.27167630057803466,145.3196353436185,48.07994389901823,196,48.07994389901823,3388.4444444444443,1054.2340425531916,393.24603174603175,1793.8823529411766
ZHWEA6ZX1MLA17832,0.14545454545454545,169.09892086330936,56.61285971223022,259,56.61285971223022,4057,588.8333333333334,227.93548387096774,2028.5
ZHWEA6ZX1MLA17877,0.19078947368421054,104.68692888359158,29.82558601509734,165,29.82558601509734,1585.6666666666667,753.448275862069,220.7070707070707,951.4
ZHWEA6ZX1MLA17894,0.13924050632911392,128.12243221035334,48.08093672966311,192,48.08093672966311,1938,846.3181818181819,300.30645161290323,1661.142857142857
ZHWEA6ZX1MLA17975,0.17857142857142858,73.09066666666666,19.14,207,19.14,1300,284.2916666666667,98.8840579710145,1300
ZHWEA6ZX1MLA18298,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZHWEA6ZX1NLA18058,0.19696969696969696,155.5747417459996,46.83461616366214,197,46.83461616366214,8224.5,3290.44,814.4653465346535,2436.8888888888887
ZHWEA6ZX1NLA18061,0.2900763358778626,177.26324721855553,55.99566283235904,271,55.995662832359045,2740,920.1578947368421,323.75925925925924,1826.6666666666667
ZHWEA6ZX1NLA18089,0.2125984251968504,146.0929497312678,57.315839392981346,185,57.315839392981346,3818.5,800.5555555555555,332.53846153846155,3054.8
ZHWEA6ZX1NLA18092,0.14960629921259844,126.34626777251185,55.59419431279621,154,55.59419431279621,5196,1183,443.625,3897
ZHWEA6ZX1NLA18299,0.1,93.67098445595855,47.681347150259064,107,47.681347150259064,NA,250.16666666666666,83.38888888888889,NA
ZHWEA6ZX1NLA18352,0.35714285714285715,114.58564194976867,34.09617943820225,178.637,34.09617943820225,2774.1666666666665,1461.7894736842106,455.3114754098361,1387.0833333333333
ZHWEA6ZX1NLA18366,0.35,195,62.12267429973421,239,62.12267429973421,4847.142857142857,5121.714285714285,2560.8571428571427,2827.5
ZHWEA6ZX1NLA18433,0.16363636363636364,107.13320463320463,47.48455598455598,126,47.48455598455598,NA,203.875,60.407407407407405,NA
ZHWEA6ZX1NLA18450,0.4074074074074074,165.46003824091778,68.3036328871893,239,68.3036328871893,2203.5,773.3809523809524,290.01785714285717,1652.625
ZHWEA6ZX1NLA18495,0.3333333333333333,99.22227705029015,36.85926899419729,180.247,36.85926899419729,1329,332.2,131.1315789473684,1329
ZHWEA6ZX1NLA18657,0.21428571428571427,93.38076269158879,49.49559829906542,109.435,49.49559829906542,2101,662.2,165.55,2101
ZHWEA6ZX1NLA18738,0.7368421052631579,135.96176470588236,46.152941176470584,174,46.15294117647059,2066.5,486.38461538461536,203.96774193548387,2066.5
